species,length_cm,length_ref,mass_grams,phylo_distance_diet_model_my,venom_yield_mg,venom_yield_ref,environment,constriction,Env_refs,dimensions,ld50_mg,ld50_method,ld50_model,ld50_ref,fishes,inverts,amphibians,reptiles,birds,eggs,mammals,egg.bin,diet_refs,prey_size_g
Bungarus_multicinctus,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,375.1,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,no,"de Queiroz, A. & Rodrêguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,0.071,iv,mouse,"Kocholaty, W.F., Ledford, E.B., Daly, J.G. and Billings, T.A., 1971. Toxicity and some enzymatic properties and activities in the venoms of Crotalidae, Elapidae and Viperidae. Toxicon, 9(2), pp.131-138.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9
Bungarus_multicinctus,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,0,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,no,"de Queiroz, A. & Rodrêguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,0.00078,im,bird,"Lee, C.Y. and Tseng, L.F., 1969. Species differences in susceptibility to elapid venoms. Toxicon, 7(2), pp.89-93.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9
Bungarus_multicinctus,185,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",1109,0,7.8,"Gopalakrishnakone, P. and Chou, L.M., 1990. Snakes of medical importance (Asia-Pacific region). National University of Singapore; Sawai Y. (1976) Medical treatment of snakebites. 2. Southeast Asia. The Snake, Vol. 8(1), pp 1-30. ",aquatic,no,"de Queiroz, A. & Rodrêguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006). ",3,0.00095,im,bird,"Lee, C.Y. and Tseng, L.F., 1969. Species differences in susceptibility to elapid venoms. Toxicon, 7(2), pp.89-93.",76,0,0,24,0,0,0,no,"Mao, S.H., 1970. Food of the common venomous snakes of Taiwan. Herpetologica, pp.45-48.",94.9
Causus_rhombeatus,93,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",422,782.7,25,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,8.75,iv,mouse,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",0,100,0,0,0,0,0,no,"Ineich, I., Bonnet, X., Shine, R., Shine, T., Brischoux, F., Lebreton, M. and Chirio, L., 2006. What, if anything, is a •typicalêviper? Biological attributes of basal viperid snakes (genus Causus Wagler, 1830). Biological Journal of the Linnean Society, 89(4), pp.575-588.",0.0085
Causus_rhombeatus,93,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",422,782.7,25,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,15,sc,mouse,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",0,100,0,0,0,0,0,no,"Ineich, I., Bonnet, X., Shine, R., Shine, T., Brischoux, F., Lebreton, M. and Chirio, L., 2006. What, if anything, is a •typicalêviper? Biological attributes of basal viperid snakes (genus Causus Wagler, 1830). Biological Journal of the Linnean Society, 89(4), pp.575-588.",0.0085
Cerastes_cerastes,85,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",325,145.7,51,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Kochva E. (1978) Oral Glands of the Reptilia. In : Biology of the Reptilia.VIII. Eds. Gans C. and Gans K.A., Academic Press, London and New York. Abdel_Aal, A. and Abdel-Baset, A., 2010. Venom yield and toxicities of six Egyptian snakes with a description of a procedure for estimating the amount of venom ejected by a single snake bite. Scientific Journal of King Faisal University (Basic and Applied Sciences), 11(1), p.1431.",terrestrial,no,"Mallow D, Ludwig D, Nilson G. 2003. True Vipers: Natural History and Toxinology of Old World Vipers. Malabar, Florida: Krieger Publishing Company. 359 pp",1,0.5,iv,mouse,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",0,0,0,47.62,1.59,0,50.79,no,"Webber, M.M., X. Glaudas, J.A. Rodriguez-Robles. 2012. Do sidewinding rattlesnakes (Crotalus cerastes, Viperidae) cease feeding during the breeding season? Copeia 2012: 100-105.",NA
Cerastes_cerastes,85,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",325,145.7,51,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Kochva E. (1978) Oral Glands of the Reptilia. In : Biology of the Reptilia.VIII. Eds. Gans C. and Gans K.A., Academic Press, London and New York. Abdel_Aal, A. and Abdel-Baset, A., 2010. Venom yield and toxicities of six Egyptian snakes with a description of a procedure for estimating the amount of venom ejected by a single snake bite. Scientific Journal of King Faisal University (Basic and Applied Sciences), 11(1), p.1431.",terrestrial,no,"Mallow D, Ludwig D, Nilson G. 2003. True Vipers: Natural History and Toxinology of Old World Vipers. Malabar, Florida: Krieger Publishing Company. 359 pp",1,0.95,ip,mouse,"Abdel_Aal, A. and Abdel-Baset, A., 2010. Venom yield and toxicities of six Egyptian snakes with a description of a procedure for estimating the amount of venom ejected by a single snake bite. Scientific Journal of King Faisal University (Basic and Applied Sciences), 11(1), p.1431.",0,0,0,47.62,1.59,0,50.79,no,"Webber, M.M., X. Glaudas, J.A. Rodriguez-Robles. 2012. Do sidewinding rattlesnakes (Crotalus cerastes, Viperidae) cease feeding during the breeding season? Copeia 2012: 100-105.",NA
Cerastes_vipera,53,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",82,296,22.3,"Abdel_Aal, A. and Abdel-Baset, A., 2010. Venom yield and toxicities of six Egyptian snakes with a description of a procedure for estimating the amount of venom ejected by a single snake bite. Scientific Journal of King Faisal University (Basic and Applied Sciences), 11(1), p.1431.",terrestrial,no,"Sivan, J., Kam, M., Hadad, S., Degen, A.A., Rozenboim, I. and Rosenstrauch, A., 2013. Temporal activity and dietary selection in two coexisting desert snakes, the Saharan sand viper (Cerastes vipera) and the crowned leafnose (Lytorhynchus diadema). Zoology, 116(2), pp.113-117.",1,0.5,iv,mouse,"Theakston, R.D.G. and Reid, H.A., 1983. Development of simple standard assay procedures for the characterization of snake venoms. Bulletin of the world health organization, 61(6), p.949.",0,0,0,100,0,0,0,no,"Sivan, J., Kam, M., Hadad, S., Degen, A.A., Rozenboim, I. and Rosenstrauch, A., 2013. Temporal activity and dietary selection in two coexisting desert snakes, the Saharan sand viper (Cerastes vipera) and the crowned leafnose (Lytorhynchus diadema). Zoology, 116(2), pp.113-117.",12.44
Crotalus_adamanteus,244,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",6987,21,443,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Broad, A. J., Sutherland, S. K., Coulter, A.R. (1979). The lethality in mice of dangerous Australian and other snake venoms. Toxicon (17). 664-667. 11. ; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,1.69,iv,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,3.9,1.1,1.1,0,94,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",565.4
Crotalus_adamanteus,244,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",6987,21,443,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Broad, A. J., Sutherland, S. K., Coulter, A.R. (1979). The lethality in mice of dangerous Australian and other snake venoms. Toxicon (17). 664-667. 11. ; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,14.6,sc,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,3.9,1.1,1.1,0,94,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",565.4
Crotalus_adamanteus,244,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",6987,21,443,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Broad, A. J., Sutherland, S. K., Coulter, A.R. (1979). The lethality in mice of dangerous Australian and other snake venoms. Toxicon (17). 664-667. 11. ; U.S. Department of the Navy (1968) Poisonous Snakes of the World. United States Government Printing Office, Washington. D.C.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,1.89,ip,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,3.9,1.1,1.1,0,94,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",565.4
Crotalus_atrox,213,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",4705,41.4,400,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,3.65,iv,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,12,2,0,86,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",85.04
Crotalus_atrox,213,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",4705,41.4,400,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,17.8,sc,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,12,2,0,86,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",85.04
Crotalus_atrox,213,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",4705,41.4,400,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,3.5,ip,mouse,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0,12,2,0,86,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",85.04
Crotalus_basiliscus,204.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",4179,0,150,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,2.8,ip,mouse,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0,0,0,0,100,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",NA
Crotalus_catalinensis,73,"Campbell JA, Lamar WW. 2004. The Venomous Reptiles of the Western Hemisphere. Comstock Publishing Associates, Ithaca and London. 870 pp.",209,86.7,21,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,3.5,ip,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,29.3,0,0,70.7,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",20.41
Crotalus_catalinensis,73,"Campbell JA, Lamar WW. 2004. The Venomous Reptiles of the Western Hemisphere. Comstock Publishing Associates, Ithaca and London. 870 pp.",209,86.7,21,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,10.9,im,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,29.3,0,0,70.7,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",20.41
Crotalus_cerastes,82,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",293,143.6,33,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,2.28,iv,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,45.6,2.9,0,51.5,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",43.04
Crotalus_cerastes,82,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",293,143.6,33,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,5.5,sc,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,45.6,2.9,0,51.5,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",43.04
Crotalus_cerastes,82,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",293,143.6,33,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,3,ip,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,45.6,2.9,0,51.5,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",43.04
Crotalus_durissus,150,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1696,0,74,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,0.61,ip,mouse,"Aguilar, I., Guerrero, B., Salazar, A.M., Gir„n, M.E., P_rez, J.C., Sˆnchez, E.E. and RodrÍguez-Acosta, A., 2007. Individual venom variability in the South American rattlesnake Crotalus durissus cumanensis. Toxicon, 50(2), pp.214-224.",0,0,0,0,0,0,100,no,"Salom†o, M.D., Santos, S.M.A. and Puorto, G., 1995. Activity pattern of Crotalus durissus (Viperidae, Crotalinae): feeding, reproduction and snakebite. Studies on neotropical Fauna and environment, 30(2), pp.101-106.",273.28
Crotalus_durissus,150,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1696,0,200,"Sanchez E.F., Freitas T.V., Ferreira-Alves D.L., Velarde D.T., Diniz M.R., Cordeiro M.N., Agostini-Cotta G. and Diniz C.R. (1992) Biological activities of venoms from South American Snakes. Toxicon, Vol. 30, p 95.; Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; De Roodt A.R., Dolab J.A., Gallarce P.P., Gould E., Litwin S., Dokmetjian, J.C., Segre L. and Vidal J.C. (1998) A study on the venom yield of venomous snake species from Argentina. Toxicon, Vol. 36, pp 1949-1957. ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,0.13,ip,mouse,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0,0,0,0,100,no,"Salom†o, M.D., Santos, S.M.A. and Puorto, G., 1995. Activity pattern of Crotalus durissus (Viperidae, Crotalinae): feeding, reproduction and snakebite. Studies on neotropical Fauna and environment, 30(2), pp.101-106.",273.28
Crotalus_enyo,89.8,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",381,148.7,30,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,2.8,ip,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,6.4,0,33.3,0,0,60.3,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",28.33
Crotalus_enyo,89.8,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",381,148.7,30,"Glenn J.L. and Straight R.C. (1985) Venom properties of the rattlesnakes ( Crotalus ) inhabiting the Baja California region of Mexico. Toxicon, Vol. 23, p 769.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,4.6,im,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,6.4,0,33.3,0,0,60.3,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",28.33
Crotalus_horridus,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,24.3,150,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,2.6,iv,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0.32,1.1,6.7,0,92,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",127.75
Crotalus_horridus,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,24.2,150,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,6.1,sc,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0.3,1.1,6.7,0,92,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",127.75
Crotalus_horridus,189,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3323,24,150,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,1,ip,mouse,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,0,0.32,1,6.7,0,92,no,"Grundler, M.C. and Rabosky, D.L., 2014. Trophic divergence despite morphological convergence in a continental radiation of snakes. Proceedings of the Royal Society of London B: Biological Sciences, 281(1787), p.20140413.",127.75
Crotalus_lepidus,83,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",303,392.9,12.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,9,iv,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,28.3,0,56,1.9,0,13.8,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",21.38
Crotalus_lepidus,83,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",303,392.9,12.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,23.95,sc,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,28.3,0,56,1.9,0,13.8,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",21.38
Crotalus_lepidus,83,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",303,392.9,12.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,1.55,ip,mouse,"Gibbs, H.L. and Mackessy, S.P., 2009. Functional basis of a molecular adaptation: prey-specific toxic effects of venom from Sistrurus rattlesnakes. Toxicon, 53(6), pp.672-679.",0,28.3,0,56,1.9,0,13.8,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",21.38
Crotalus_lepidus,83,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",303,392.9,12.5,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,15.13,im,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,28.3,0,56,1.9,0,13.8,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",21.38
Crotalus_mitchellii,132,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1169,106.6,131,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,1.72,ip,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,32,4,0,64,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",NA
Crotalus_mitchellii,132,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1169,106.6,131,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,4.96,im,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,32,4,0,64,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",NA
Crotalus_molossus,126,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1021,49.4,286,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",terrestrial,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",1,2.63,iv,mouse,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",0,0,0,0,16.7,0,83.3,no,"Ernst, C. H. & Ernst, E. M. Snakes of the United States and Canada.  (Smithsonian Books, 2003). ",53.045
